Multiple occupations for one geographical area,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Area:National,,,,,,,,,,,,,,,
Period:May 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Occupation (SOC code),Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2)
Automotive Body and Related Repairers(493021),      151910,         1.1,       26.55,       55220,         0.5,       16.95,       19.92,       23.43,       29.84,       38.65,       35250,       41430,       48740,       62060,       80380
Automotive Glass Installers and Repairers(493022),       16890,         5.4,       22.12,       46010,         0.9,       15.08,       17.88,       21.79,       24.99,       29.81,       31370,       37180,       45320,       51970,       62000
Automotive Service Technicians and Mechanics(493023),      676570,         0.5,       24.97,       51940,         0.3,       14.71,       17.74,       22.96,       29.96,       37.32,       30600,       36910,       47770,       62310,       77630
Bus and Truck Mechanics and Diesel Engine Specialists(493031),      285030,         1.3,       28.81,       59920,         0.3,       18.76,       22.95,       28.35,       33.88,       39.63,       39020,       47730,       58970,       70470,       82430
Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics(493040),      233590,         1.0,       30.06,       62520,         0.7,       19.21,       23.44,       29.33,       35.61,       40.31,       39960,       48750,       61000,       74070,       83850
Farm Equipment Mechanics and Service Technicians(493041),       36830,         1.4,       25.06,       52120,         0.5,       16.76,       19.85,       23.66,       29.47,       34.83,       34870,       41290,       49210,       61310,       72450
"Mobile Heavy Equipment Mechanics, Except Engines(493042)",      177280,         1.2,       30.93,       64340,         0.8,       20.67,       24.24,       29.76,       36.18,       41.21,       42990,       50420,       61900,       75260,       85720
Rail Car Repairers(493043),       19480,         1.9,       31.58,       65690,         0.6,       21.22,       23.99,       31.27,       37.62,       42.44,       44140,       49900,       65030,       78240,       88280
Small Engine Mechanics(493050),       73630,         1.5,       23.11,       48070,         0.3,       15.18,       18.00,       22.36,       27.40,       31.54,       31580,       37440,       46500,       57000,       65600
Motorboat Mechanics and Service Technicians(493051),       23230,         2.8,       25.30,       52620,         0.8,       16.83,       19.97,       24.04,       29.43,       35.38,       35010,       41540,       49990,       61210,       73600
Motorcycle Mechanics(493052),       14330,         3.2,       23.06,       47960,         0.6,       14.52,       17.78,       22.24,       27.94,       32.56,       30200,       36980,       46270,       58110,       67730
Outdoor Power Equipment and Other Small Engine Mechanics(493053),       36080,         1.5,       21.72,       45180,         0.6,       14.83,       17.52,       21.22,       24.58,       29.28,       30840,       36430,       44140,       51120,       60900
"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers(493090)",      132860,         1.3,       18.87,       39250,         0.4,       13.93,       15.38,       17.57,       21.40,       25.37,       28980,       31980,       36550,       44500,       52770
Bicycle Repairers(493091),       13980,         4.2,       18.92,       39360,         0.8,       13.78,       16.41,       18.42,       21.70,       23.51,       28670,       34140,       38320,       45130,       48910
Recreational Vehicle Service Technicians(493092),       17360,         5.2,       24.37,       50690,         1.0,       16.18,       18.60,       23.05,       28.94,       34.85,       33660,       38690,       47950,       60200,       72500
Tire Repairers and Changers(493093),      101520,         1.2,       17.92,       37280,         0.4,       13.86,       14.97,       17.21,       19.19,       22.93,       28820,       31140,       35790,       39910,       47680
"Other Installation, Maintenance, and Repair Occupations(499000)",     3196930,         0.4,       26.74,       55620,         0.2,       15.99,       18.95,       24.14,       31.31,       39.76,       33260,       39410,       50200,       65120,       82690
Control and Valve Installers and Repairers(499010),       75570,         1.7,       31.12,       64740,         0.6,       18.00,       22.22,       28.39,       39.05,       48.60,       37440,       46210,       59040,       81230,      101090
Mechanical Door Repairers(499011),       27800,         3.9,       24.83,       51640,         0.8,       17.42,       20.35,       23.39,       28.70,       33.53,       36240,       42330,       48650,       59700,       69750
"Control and Valve Installers and Repairers, Except Mechanical Door(499012)",       47780,         1.8,       34.79,       72360,         0.7,       18.67,       23.81,       33.70,       45.51,       50.60,       38820,       49520,       70100,       94670,      105250
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers(499021)",      397450,         1.2,       28.66,       59620,         0.4,       17.92,       22.38,       27.55,       34.19,       40.51,       37270,       46550,       57300,       71120,       84250
Home Appliance Repairers(499031),       29950,         2.6,       24.35,       50640,         1.7,       14.95,       18.11,       22.68,       28.48,       34.93,       31100,       37660,       47170,       59240,       72660
"Industrial Machinery Installation, Repair, and Maintenance Workers(499040)",      509160,         0.6,       30.35,       63130,         0.2,       19.85,       23.77,       29.41,       35.82,       40.83,       41290,       49440,       61160,       74500,       84920
Industrial Machinery Mechanics(499041),      412650,         0.6,       30.62,       63690,         0.3,       20.38,       23.94,       29.53,       36.07,       41.33,       42390,       49780,       61420,       75030,       85970
"Maintenance Workers, Machinery(499043)",       58040,         1.5,       28.13,       58500,         0.4,       18.00,       22.25,       27.57,       32.37,       38.83,       37440,       46280,       57350,       67320,       80770
Millwrights(499044),       37930,         2.4,       30.92,       64310,         0.8,       20.75,       24.77,       30.28,       36.72,       39.76,       43160,       51530,       62980,       76380,       82700
"Refractory Materials Repairers, Except Brickmasons(499045)",         540,         9.9,       23.99,       49900,         1.5,       14.97,       17.18,       23.27,       30.13,       33.65,       31130,       35730,       48410,       62670,       69990
Line Installers and Repairers(499050),      219120,         1.2,       37.64,       78290,         0.4,       21.44,       26.81,       37.89,       47.64,       53.13,       44600,       55770,       78810,       99100,      110520
Electrical Power-Line Installers and Repairers(499051),      120170,         1.4,       41.30,       85900,         0.4,       23.18,       30.35,       41.07,       50.11,       57.66,       48220,       63120,       85420,      104230,      119920
Telecommunications Line Installers and Repairers(499052),       98950,         1.8,       33.19,       69040,         0.7,       19.32,       23.34,       31.08,       43.99,       48.62,       40180,       48540,       64640,       91500,      101120
Precision Instrument and Equipment Repairers(499060),       85320,         1.9,       30.15,       62700,         0.8,       17.45,       21.38,       28.55,       37.16,       46.53,       36290,       44470,       59380,       77300,       96790
Camera and Photographic Equipment Repairers(499061),        2540,        22.6,       28.30,       58870,         7.2,       16.69,       20.60,       22.52,       30.74,       57.74,       34710,       42840,       46850,       63940,      120090
Medical Equipment Repairers(499062),       64400,         2.2,       30.84,       64140,         0.9,       17.70,       21.72,       29.17,       37.58,       47.01,       36810,       45180,       60670,       78160,       97780
Musical Instrument Repairers and Tuners(499063),        6170,         4.3,       22.24,       46250,         1.3,       14.10,       16.82,       20.58,       25.28,       30.75,       29330,       34980,       42800,       52590,       63970
Watch and Clock Repairers(499064),        1880,        14.5,       26.99,       56140,         3.8,       13.65,       20.99,       27.95,       32.86,       38.05,       28390,       43660,       58140,       68340,       79150
"Precision Instrument and Equipment Repairers, All Other(499069)",       10330,         3.8,       31.59,       65710,         1.0,       19.83,       23.26,       29.83,       38.19,       45.97,       41250,       48380,       62040,       79430,       95620
"Maintenance and Repair Workers, General(499071)",     1503150,         0.8,       23.87,       49650,         0.2,       14.84,       17.87,       22.45,       28.67,       35.33,       30860,       37160,       46700,       59640,       73490
Wind Turbine Service Technicians(499081),        9800,         6.7,       31.43,       65380,         1.5,       22.77,       25.37,       29.70,       36.03,       43.41,       47360,       52770,       61770,       74940,       90300
"Miscellaneous Installation, Maintenance, and Repair Workers(499090)",      367420,         0.9,       23.30,       48470,         0.3,       14.47,       17.28,       21.38,       27.40,       35.99,       30110,       35930,       44470,       56980,       74860
"Coin, Vending, and Amusement Machine Servicers and Repairers(499091)",       36100,         3.0,       22.04,       45840,         1.1,       13.87,       17.03,       21.63,       25.75,       30.43,       28840,       35420,       44980,       53550,       63300
Commercial Divers(499092),        2790,        11.3,       36.33,       75570,         6.4,       18.96,       22.33,       29.47,       43.15,       65.86,       39430,       46440,       61300,       89750,      136990
Locksmiths and Safe Repairers(499094),       14790,         2.0,       25.06,       52130,         0.7,       15.20,       18.25,       23.26,       29.84,       36.76,       31620,       37950,       48380,       62070,       76460
Manufactured Building and Mobile Home Installers(499095),        2910,        12.9,       19.14,       39820,         2.1,       12.77,       16.28,       18.74,       21.95,       26.00,       26560,       33860,       38980,       45650,       54080
Riggers(499096),       23870,         3.8,       29.82,       62020,         1.1,       17.99,       21.74,       27.03,       36.22,       46.67,       37420,       45220,       56220,       75350,       97080
Signal and Track Switch Repairers(499097),        9200,         1.2,       39.33,       81810,         0.6,       29.76,       36.90,       39.76,       43.78,       45.89,       61910,       76760,       82710,       91050,       95460
"Helpers--Installation, Maintenance, and Repair Workers(499098)",      101890,         1.7,       18.61,       38720,         0.5,       13.02,       15.05,       17.65,       21.26,       25.28,       27080,       31310,       36710,       44230,       52590
"Installation, Maintenance, and Repair Workers, All Other(499099)",      175860,         1.4,       24.27,       50480,         0.4,       15.58,       18.16,       22.36,       28.49,       35.95,       32400,       37770,       46500,       59250,       74780
Production Occupations(510000),     8770170,         0.1,       22.90,       47620,         0.2,       14.69,       17.30,       20.98,       26.39,       33.83,       30550,       35980,       43630,       54880,       70370
First-Line Supervisors of Production and Operating Workers(511011),      671160,         0.3,       34.48,       71730,         0.2,       20.93,       25.00,       31.70,       39.75,       49.90,       43540,       52000,       65930,       82680,      103780
Assemblers and Fabricators(512000),     1924970,         0.5,       20.90,       43470,         0.2,       14.62,       17.05,       19.10,       23.25,       29.40,       30410,       35470,       39720,       48350,       61140
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers(512011)",       29810,         2.0,       30.22,       62860,         0.7,       19.02,       23.60,       29.44,       37.51,       44.80,       39550,       49080,       61240,       78030,       93180
"Electrical, Electronics, and Electromechanical Assemblers(512020)",      279340,         1.0,       21.07,       43830,         0.4,       15.07,       17.42,       19.57,       23.27,       28.57,       31340,       36220,       40700,       48400,       59420
"Coil Winders, Tapers, and Finishers(512021)",       11900,         3.7,       22.13,       46020,         1.1,       15.81,       18.02,       21.58,       25.02,       29.43,       32890,       37480,       44890,       52040,       61220
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers(512028)",      267440,         1.0,       21.03,       43740,         0.4,       15.04,       17.40,       19.47,       23.19,       28.51,       31290,       36190,       40490,       48230,       59310
Engine and Other Machine Assemblers(512031),       47960,         1.8,       25.71,       53470,         0.4,       17.43,       19.46,       24.17,       32.31,       34.69,       36250,       40480,       50270,       67210,       72160
Structural Metal Fabricators and Fitters(512041),       57810,         1.8,       24.35,       50640,         0.5,       17.39,       19.80,       23.31,       27.65,       31.97,       36180,       41180,       48480,       57520,       66500
Fiberglass Laminators and Fabricators(512051),       20380,         2.7,       21.12,       43920,         0.7,       15.10,       17.65,       19.33,       23.28,       27.95,       31400,       36720,       40200,       48430,       58140
Timing Device Assemblers and Adjusters(512061),         400,        27.4,       25.41,       52840,         4.0,       18.17,       20.28,       23.48,       28.41,       33.29,       37800,       42190,       48840,       59090,       69240
Miscellaneous Assemblers and Fabricators(512090),     1489280,         0.6,       20.39,       42400,         0.2,       14.44,       16.82,       18.71,       22.75,       28.77,       30030,       34980,       38920,       47310,       59840
Food Processing Workers(513000),      848630,         0.9,       18.37,       38220,         0.2,       13.42,       15.26,       17.71,       21.11,       23.80,       27920,       31750,       36850,       43900,       49500
Bakers(513011),      220230,         2.9,       17.09,       35550,         0.4,       12.00,       14.22,       16.80,       18.64,       22.59,       24960,       29570,       34950,       38760,       46980
"Butchers and Other Meat, Poultry, and Fish Processing Workers(513020)",      345940,         0.7,       18.44,       38350,         0.2,       13.69,       15.50,       17.88,       21.10,       23.46,       28470,       32240,       37200,       43890,       48800
Butchers and Meat Cutters(513021),      136330,         1.3,       19.08,       39680,         0.4,       13.22,       15.50,       18.10,       22.12,       26.25,       27500,       32240,       37650,       46020,       54600
"Meat, Poultry, and Fish Cutters and Trimmers(513022)",      138300,         1.0,       17.71,       36840,         0.2,       13.80,       15.30,       17.45,       19.55,       22.19,       28700,       31820,       36300,       40670,       46150
Slaughterers and Meat Packers(513023),       71310,         1.1,       18.61,       38710,         0.2,       14.64,       16.62,       18.35,       21.29,       22.65,       30450,       34560,       38160,       44280,       47120
Miscellaneous Food Processing Workers(513090),      282460,         0.9,       19.30,       40140,         0.3,       14.12,       16.25,       18.33,       22.06,       25.69,       29370,       33790,       38130,       45880,       53440
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders(513091)",       19570,         3.9,       20.39,       42410,         1.0,       14.26,       16.70,       19.16,       23.31,       28.38,       29650,       34740,       39850,       48480,       59020
Food Batchmakers(513092),      169190,         1.1,       19.66,       40890,         0.3,       14.17,       16.16,       18.49,       22.68,       26.75,       29480,       33610,       38460,       47170,       55640
Food Cooking Machine Operators and Tenders(513093),       29730,         4.0,       19.12,       39770,         0.8,       13.81,       16.07,       18.54,       22.05,       24.48,       28720,       33430,       38550,       45870,       50910
"Food Processing Workers, All Other(513099)",       63970,         1.8,       18.09,       37630,         0.3,       13.88,       16.31,       17.73,       19.54,       22.16,       28870,       33930,       36890,       40630,       46100
Metal Workers and Plastic Workers(514000),     1605180,         0.3,       23.73,       49350,         0.2,       16.42,       18.43,       22.53,       27.76,       32.88,       34160,       38340,       46860,       57750,       68390
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic(514020)",       97290,         1.5,       22.40,       46600,         0.5,       15.93,       18.25,       21.83,       25.01,       29.79,       33140,       37950,       45410,       52030,       61960
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic(514021)",       63370,         1.9,       21.85,       45440,         0.7,       15.41,       17.94,       21.34,       24.43,       28.81,       32050,       37320,       44390,       50800,       59930
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic(514022)",        9170,         3.8,       22.76,       47350,         0.9,       15.32,       18.46,       22.59,       26.07,       30.80,       31860,       38390,       46990,       54220,       64070
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic(514023)",       24750,         2.7,       23.70,       49290,         0.6,       17.16,       19.35,       22.61,       26.55,       31.65,       35690,       40240,       47040,       55220,       65830
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic(514030)",      293770,         1.0,       21.61,       44950,         0.2,       15.90,       17.76,       20.82,       23.86,       29.27,       33070,       36940,       43300,       49630,       60870
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic(514031)",      179230,         1.3,       21.28,       44260,         0.3,       15.69,       17.61,       20.39,       23.57,       28.76,       32640,       36620,       42400,       49030,       59810
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514032)",        5740,         6.1,       22.83,       47490,         1.7,       16.61,       18.67,       21.45,       25.68,       30.20,       34550,       38840,       44620,       53410,       62820
"Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514033)",       75260,         1.2,       21.37,       44450,         0.3,       15.85,       17.80,       20.48,       23.46,       28.84,       32960,       37020,       42610,       48800,       59990
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514034)",       19560,         3.3,       23.48,       48850,         0.8,       17.19,       18.97,       22.65,       26.85,       31.00,       35760,       39460,       47110,       55860,       64470
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic(514035)",       13990,         3.1,       24.05,       50020,         0.8,       16.89,       18.46,       22.69,       28.50,       33.62,       35140,       38390,       47200,       59280,       69920
Machinists(514041),      290720,         1.0,       26.25,       54600,         0.2,       17.64,       21.00,       24.44,       30.22,       36.45,       36690,       43680,       50840,       62860,       75820
"Metal Furnace Operators, Tenders, Pourers, and Casters(514050)",       26340,         3.8,       25.70,       53460,         0.7,       17.77,       20.75,       24.14,       30.03,       37.14,       36960,       43150,       50200,       62460,       77250
Metal-Refining Furnace Operators and Tenders(514051),       20870,         4.8,       26.13,       54340,         0.9,       17.87,       21.19,       24.16,       30.69,       39.68,       37180,       44080,       50250,       63820,       82530
"Pourers and Casters, Metal(514052)",        5460,         4.1,       24.09,       50110,         0.8,       17.41,       19.30,       23.41,       27.78,       32.83,       36220,       40140,       48690,       57780,       68280
"Model Makers and Patternmakers, Metal and Plastic(514060)",        4990,         4.4,       29.06,       60450,         1.2,       19.05,       22.32,       28.29,       34.44,       39.98,       39630,       46430,       58840,       71630,       83160
"Model Makers, Metal and Plastic(514061)",        2840,         4.8,       31.21,       64920,         1.2,       20.42,       23.69,       30.86,       37.00,       42.51,       42470,       49270,       64190,       76960,       88420
"Patternmakers, Metal and Plastic(514062)",        2150,         8.6,       26.22,       54550,         2.2,       17.44,       21.20,       23.88,       31.17,       37.13,       36280,       44090,       49670,       64830,       77230
"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic(514070)",      170760,         1.2,       20.32,       42270,         0.3,       14.60,       16.85,       18.83,       22.87,       27.98,       30360,       35040,       39170,       47560,       58190
Foundry Mold and Coremakers(514071),       11780,         2.7,       21.70,       45130,         0.7,       15.90,       17.97,       21.30,       24.22,       29.47,       33070,       37390,       44300,       50380,       61300
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic(514072)",      158980,         1.3,       20.22,       42060,         0.3,       14.56,       16.78,       18.69,       22.75,       27.87,       30280,       34900,       38870,       47320,       57970
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic(514081)",      127790,         1.4,       21.15,       43990,         0.3,       15.02,       17.47,       20.00,       23.88,       28.70,       31240,       36330,       41600,       49660,       59700
Tool and Die Makers(514111),       58150,         1.1,       29.82,       62020,         0.3,       19.50,       23.59,       29.56,       35.59,       39.29,       40560,       49070,       61490,       74030,       81720
"Welding, Soldering, and Brazing Workers(514120)",      454760,         0.9,       25.12,       52240,         0.2,       17.64,       20.26,       23.40,       28.63,       34.70,       36690,       42130,       48680,       59540,       72180
"Welders, Cutters, Solderers, and Brazers(514121)",      421730,         0.8,       25.31,       52640,         0.2,       17.71,       20.56,       23.53,       28.80,       35.08,       36830,       42760,       48940,       59900,       72970
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders(514122)",       33020,         2.7,       22.65,       47120,         0.4,       16.96,       18.56,       21.80,       25.21,       30.41,       35270,       38600,       45350,       52430,       63260
Miscellaneous Metal Workers and Plastic Workers(514190),       80600,         1.7,       22.02,       45800,         0.4,       15.46,       17.77,       20.80,       24.61,       30.09,       32150,       36960,       43260,       51200,       62580
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic(514191)",       14950,         3.1,       22.38,       46540,         0.7,       16.76,       18.43,       21.27,       24.80,       29.53,       34850,       38330,       44240,       51570,       61410
"Layout Workers, Metal and Plastic(514192)",        6660,         4.2,       28.90,       60110,         0.7,       19.94,       23.16,       29.94,       32.01,       38.16,       41480,       48180,       62270,       66580,       79370
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic(514193)",       31970,         2.4,       20.46,       42550,         0.5,       14.78,       17.06,       19.11,       22.85,       27.67,       30730,       35480,       39740,       47530,       57550
"Tool Grinders, Filers, and Sharpeners(514194)",        6660,         4.3,       23.33,       48520,         1.0,       15.39,       18.29,       22.31,       27.38,       32.77,       32020,       38030,       46410,       56950,       68150
"Metal Workers and Plastic Workers, All Other(514199)",       20370,         5.0,       21.53,       44780,         0.7,       15.66,       17.75,       19.81,       23.51,       29.36,       32580,       36910,       41200,       48910,       61080
Printing Workers(515110),      213920,         0.7,       21.17,       44030,         0.3,       14.30,       17.00,       19.65,       23.83,       29.31,       29750,       35370,       40870,       49560,       60970
Prepress Technicians and Workers(515111),       23590,         2.7,       22.38,       46540,         0.7,       15.06,       17.50,       21.67,       26.12,       30.50,       31330,       36390,       45070,       54330,       63440
Printing Press Operators(515112),      151450,         1.1,       21.37,       44450,         0.4,       14.32,       17.10,       20.13,       24.12,       29.57,       29790,       35560,       41860,       50160,       61500
Print Binding and Finishing Workers(515113),       38880,         2.2,       19.64,       40860,         0.6,       14.05,       16.60,       18.32,       22.47,       26.97,       29220,       34520,       38100,       46740,       56090
"Textile, Apparel, and Furnishings Workers(516000)",      473970,         0.8,       16.93,       35210,         0.2,       12.00,       14.07,       16.40,       18.43,       22.26,       24970,       29260,       34110,       38340,       46310
Laundry and Dry-Cleaning Workers(516011),      185000,         0.9,       15.33,       31880,         0.2,       11.38,       13.31,       14.93,       17.05,       18.71,       23670,       27690,       31050,       35460,       38920
"Pressers, Textile, Garment, and Related Materials(516021)",       28700,         3.4,       15.55,       32340,         0.6,       11.37,       13.68,       15.50,       17.33,       18.92,       23650,       28460,       32240,       36050,       39360
Sewing Machine Operators(516031),      116130,         1.3,       16.83,       35000,         0.4,       12.19,       14.27,       16.56,       18.43,       21.81,       25360,       29690,       34440,       38340,       45360
Shoe and Leather Workers(516040),       11850,         3.3,       17.72,       36850,         1.1,       13.16,       14.35,       17.45,       20.24,       22.45,       27360,       29850,       36300,       42110,       46690
Shoe and Leather Workers and Repairers(516041),        7230,         7.2,       17.80,       37030,         2.0,       12.32,       14.23,       17.32,       20.19,       23.29,       25620,       29600,       36020,       41990,       48440
Shoe Machine Operators and Tenders(516042),        4630,         4.9,       17.58,       36570,         0.8,       13.44,       14.62,       17.78,       20.50,       21.82,       27950,       30420,       36970,       42650,       45380
"Tailors, Dressmakers, and Sewers(516050)",       18340,         7.5,       18.76,       39020,         1.0,       13.00,       14.93,       17.16,       21.27,       25.46,       27040,       31050,       35680,       44240,       52950
"Sewers, Hand(516051)",        3390,        11.9,       16.28,       33860,         1.8,       12.50,       13.95,       15.50,       17.87,       21.10,       26000,       29020,       32240,       37170,       43880
"Tailors, Dressmakers, and Custom Sewers(516052)",       14950,        10.2,       19.32,       40190,         1.1,       13.25,       15.30,       17.62,       21.40,       26.83,       27560,       31820,       36650,       44510,       55810
"Textile Machine Setters, Operators, and Tenders(516060)",       55950,         1.2,       17.96,       37370,         0.4,       13.78,       15.48,       17.38,       19.50,       22.52,       28670,       32190,       36150,       40560,       46840
Textile Bleaching and Dyeing Machine Operators and Tenders(516061),        6650,         7.0,       18.06,       37570,         2.4,       13.26,       14.62,       16.99,       19.48,       22.24,       27580,       30410,       35340,       40520,       46260
"Textile Cutting Machine Setters, Operators, and Tenders(516062)",        9760,         2.7,       17.81,       37040,         0.6,       13.24,       15.14,       17.61,       19.76,       22.49,       27540,       31490,       36620,       41100,       46790
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders(516063)",       15980,         2.7,       18.21,       37880,         0.9,       13.80,       15.36,       17.85,       20.13,       22.57,       28700,       31950,       37130,       41860,       46940
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders(516064)",       23550,         1.7,       17.84,       37100,         0.6,       14.20,       15.84,       17.08,       19.12,       22.52,       29530,       32950,       35530,       39780,       46840
"Miscellaneous Textile, Apparel, and Furnishings Workers(516090)",       58010,         1.9,       21.17,       44020,         0.7,       14.20,       16.76,       19.50,       23.49,       29.68,       29540,       34870,       40560,       48870,       61730
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers(516091)",       14520,         3.6,       21.77,       45270,         0.5,       16.11,       18.26,       21.17,       24.03,       29.03,       33510,       37980,       44030,       49990,       60380
Fabric and Apparel Patternmakers(516092),        2670,         7.4,       32.09,       66750,         4.3,       15.28,       19.60,       30.05,       39.59,       51.38,       31780,       40760,       62510,       82340,      106870
Upholsterers(516093),       25740,         2.0,       21.55,       44820,         0.7,       14.64,       17.35,       20.54,       23.91,       29.71,       30450,       36090,       42730,       49740,       61800
"Textile, Apparel, and Furnishings Workers, All Other(516099)",       15080,         3.9,       18.00,       37430,         1.1,       13.48,       14.50,       16.89,       19.57,       23.95,       28030,       30150,       35130,       40710,       49810
Woodworkers(517000),      216330,         0.9,       20.30,       42210,         0.3,       14.28,       16.94,       18.92,       22.88,       27.60,       29700,       35240,       39350,       47590,       57400
Cabinetmakers and Bench Carpenters(517011),       88460,         1.6,       21.45,       44620,         0.4,       14.83,       17.57,       20.80,       23.78,       29.23,       30850,       36550,       43260,       49470,       60800
Furniture Finishers(517021),       14380,         2.6,       20.43,       42490,         0.6,       14.26,       16.82,       19.13,       22.90,       27.46,       29660,       34980,       39790,       47640,       57120
"Model Makers and Patternmakers, Wood(517030)",         850,        11.7,       25.22,       52460,         2.8,       16.56,       18.61,       23.22,       29.47,       38.89,       34440,       38700,       48290,       61300,       80890
"Model Makers, Wood(517031)",         590,        14.1,       25.25,       52510,         3.7,       16.29,       18.00,       21.66,       30.65,       40.43,       33880,       37440,       45040,       63740,       84090
"Patternmakers, Wood(517032)",         260,        19.8,       25.16,       52330,         4.0,       18.61,       21.03,       23.38,       26.46,       36.28,       38700,       43730,       48630,       55030,       75460
"Woodworking Machine Setters, Operators, and Tenders(517040)",      104820,         1.2,       19.36,       40260,         0.3,       14.04,       16.39,       18.34,       22.13,       25.01,       29200,       34100,       38140,       46030,       52020
"Sawing Machine Setters, Operators, and Tenders, Wood(517041)",       43570,         1.7,       19.29,       40120,         0.5,       13.84,       16.09,       18.27,       22.10,       24.90,       28790,       33470,       38000,       45970,       51780
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing(517042)",       61250,         1.7,       19.40,       40360,         0.3,       14.24,       16.59,       18.40,       22.16,       25.14,       29620,       34500,       38260,       46100,       52280
"Woodworkers, All Other(517099)",        7830,         4.9,       19.00,       39520,         1.0,       13.58,       15.65,       18.15,       21.56,       26.28,       28250,       32540,       37760,       44840,       54660
Plant and System Operators(518000),      283480,         1.1,       35.00,       72810,         0.3,       19.01,       23.96,       32.26,       45.64,       52.32,       39540,       49830,       67100,       94940,      108830
"Power Plant Operators, Distributors, and Dispatchers(518010)",       46300,         1.3,       47.21,       98190,         0.4,       28.37,       38.04,       48.50,       55.40,       63.72,       59010,       79120,      100890,      115220,      132540
Nuclear Power Reactor Operators(518011),        5760,         1.4,       58.29,      121240,         0.4,       44.36,       49.94,       57.86,       64.47,       73.07,       92270,      103880,      120350,      134100,      151980
Power Distributors and Dispatchers(518012),        9040,         2.5,       50.70,      105460,         0.5,       32.87,       42.04,       50.36,       59.05,       66.80,       68360,       87440,      104750,      122830,      138950
Power Plant Operators(518013),       31490,         1.9,       44.17,       91880,         0.5,       26.00,       35.03,       46.64,       51.34,       59.19,       54080,       72860,       97010,      106780,      123120
Stationary Engineers and Boiler Operators(518021),       33840,         2.3,       35.18,       73170,         0.8,       19.89,       24.99,       32.52,       42.86,       54.64,       41360,       51970,       67640,       89160,      113660
Water and Wastewater Treatment Plant and System Operators(518031),      120710,         0.9,       27.91,       58050,         0.3,       17.64,       21.50,       26.39,       32.59,       39.95,       36680,       44720,       54890,       67790,       83090
Miscellaneous Plant and System Operators(518090),       82630,         2.4,       38.46,       80000,         0.6,       22.20,       29.43,       38.80,       48.05,       51.75,       46180,       61210,       80710,       99930,      107650
Chemical Plant and System Operators(518091),       17980,         4.0,       38.20,       79450,         1.1,       22.91,       28.77,       38.48,       48.06,       52.15,       47650,       59830,       80030,       99960,      108470
Gas Plant Operators(518092),       15930,         4.3,       39.91,       83020,         0.9,       25.64,       31.85,       39.69,       47.68,       52.09,       53330,       66250,       82560,       99180,      108340
"Petroleum Pump System Operators, Refinery Operators, and Gaugers(518093)",       33360,         3.3,       42.36,       88120,         0.8,       27.87,       36.60,       45.47,       49.24,       52.99,       57970,       76130,       94580,      102410,      110220
"Plant and System Operators, All Other(518099)",       15370,         5.3,       28.80,       59890,         1.5,       17.36,       21.82,       27.37,       34.37,       41.32,       36120,       45390,       56940,       71500,       85950
Other Production Occupations(519000),     2532530,         0.3,       22.46,       46710,         0.2,       15.02,       17.43,       21.10,       25.63,       31.26,       31250,       36250,       43880,       53310,       65010
"Chemical Processing Machine Setters, Operators, and Tenders(519010)",      173420,         1.6,       26.78,       55700,         0.4,       17.17,       20.00,       24.18,       30.69,       38.96,       35710,       41590,       50300,       63840,       81050
